abyss	abysses
addendum	addenda
agendum	agenda
agendum	agendas
agent provocateur	agents provocateurs
aide-de-camp	aides-de-camp
aircraft	aircraft
alga	algae
alumna	alumnae
alumnus	alumni
analysis	analyses
anathema	anathemas
anathema	anathemata
antenna	antennae
antenna	antennas
apparatus	apparatuses
appendix	appendices
appendix	appendixes
aquarium	aquaria
aquarium	aquariums
arch	arches
atlas	atlases
attorney general	attorneys general
automaton	automata
axe	axes
axis	axes
baby	babies
bacillus	bacilli
bacterium	bacteria
basis	bases
batch	batches
beau	beaux
beau geste	beau gestes
beau geste	beaux gestes
bel-homme	beaux hommes
belle epoque	belle epoques
belle epoque	belles epoques
bildungsroman	bildungsromane
bill of attainder	bills of attainder
biscotto	biscotti
bison	bison
bon mot	bon mot
bon mot	bons mots
bon vivant	bon vivants
bon vivant	bons vivants
brother	brethren
brother	brothers
brother	brothren
brush	brushes
buffalo	buffalo
buffalo	buffaloes
bureau	bureaus
bureau	bureaux
bus	buses
bus	busses
cactus	cacti
cactus	cactuses
calf	calves
campus	campuses
candelabrum	candelabra
candelabrum	candelabras
canto	cantos
casino	casinos
cat-o'-nine-tails	cat-o'-nine-tails
census	censuses
chateau	chateaus
chateau	chateaux
cherry	cherries
cherub	cherubim
chick	chicks
chicken	chickens
child	children
church	churches
circus	circuses
city	cities
cod	cod
cod	cods
copy	copies
corps	corps
corpus	corpora
corpus	corpuses
corrigendum	corrigenda
coup d'etat	coups d'etat
court martial	courts martial
cri du coeur	cris du coeur
crisis	crises
criterion	criteria
curriculum	curricula
datum	data
deer	deer
diagnosis	diagnoses
die	dice
director general	directors general
dogma	dogmas
dogma	dogmata
domino	dominoes
dwarf	dwarfs
dwarf	dwarves
echo	echoes
elf	elfs
elf	elves
ellipsis	ellipses
embargo	embargoes
emphasis	emphases
entente cordiale	ententes cordiales
erratum	errata
fait accompli	faits accomplis
fax	faxes
fee simple absolute	fees simple absolute
ferry	ferries
fireman	firemen
fish	fish
fish	fishes
flush	flushes
fly	flies
focus	foci
focus	focuses
foot	feet
formula	formulae
formula	formulas
forum	fora
fungus	fungi
fungus	funguses
gens	gentes
genu	genua
genus	genera
giraffe	giraffes
goose	geese
governor-general	governors-general
graffito	graffiti
half	halves
hallux	halluces
ham on rye	ham-on-ryes
ham on rye	hams on rye
head of state	heads of state
head of state	heads of states
hero	heroes
hetero	heteros
hippopotamus	hippopotami
hippopotamus	hippopotamuses
hoax	hoaxes
holluschik	holluschikie
hoof	hoofs
hoof	hooves
hovercraft	hovercraft
hypothesis	hypotheses
idee fixe	idees fixes
index	indexes
index	indices
insigne	insignia
insigne	insignias
iris	irises
iter	itinera
jack-in-the-box	jack-in-the-boxes
jack-in-the-box	jacks-in-the-box
jack-in-the-pulpit	jack-in-the-pulpits
jack-in-the-pulpit	jacks-in-the-pulpit
jack-o'-lantern	jack-o'-lanterns
kibbutz	kibbutzim
kimono	kimonos
kiss	kisses
knife	knives
krone	kroner
lady	ladies
leaf	leaves
lemma	lemmas
lemma	lemmata
life	lives
loaf	loaves
louse	lice
man	men
man-about-town	men-about-town
man-child	men-children
man-of-war	men-of-war
mango	mangoes
manservant	menservants
matrix	matrices
matrix	matrixes
matzo	matzoth
means	means
medium	media
memorandum	memoranda
mess	messes
millennium	millennia
millennium	millenniums
minister-president	ministers-president
moose	moose
mosquito	mosquitoes
motto	mottoes
mouse	mice
nanny	nannies
nebula	nebulae
nebula	nebulas
neurosis	neuroses
never-was	never-weres
nucleus	nuclei
oasis	oases
octopus	octopi
octopus	octopuses
offspring	offspring
ornis	ornithes
